max_depth,cv_accuracy_mean,cv_accuracy_std
1,0.7595421952564809,0.020936086560964195
2,0.7581908439051297,0.022537458791815304
3,0.7404486118771834,0.032307117319617246
4,0.7568211068211068,0.048406421925806374
5,0.7418735061592205,0.036557804523260545
6,0.7364313292884722,0.04446737210385604
7,0.7459275602132746,0.03687860838447706
8,0.7295918367346939,0.033361087987045526
9,0.7309891524177239,0.03339376993751814
10,0.7296102224673653,0.040277299389609944
11,0.7363945578231293,0.04299728732805574
12,0.7363945578231291,0.04591206809903933
13,0.7214561500275786,0.036073538425242066
14,0.7255561684133113,0.03446722261480459
15,0.7255561684133112,0.039940294938826865
