feature,coefficient,absolute_coefficient
dataset_switzerland,1.9544070483687102,1.9544070483687102
dataset_cleveland,-1.0621790325349747,1.0621790325349747
cp_asymptomatic,1.0495859903637978,1.0495859903637978
dataset_hungary,-0.935338412070653,0.935338412070653
exang,0.9025222858766733,0.9025222858766733
cp_atypical angina,-0.768988373209348,0.768988373209348
ca,0.6956678642092805,0.6956678642092805
oldpeak,0.682251976181935,0.682251976181935
thal_normal,-0.6018697710922551,0.6018697710922551
sex_female,-0.5930995041279721,0.5930995041279721
sex_male,0.5855037492720108,0.5855037492720108
slope_flat,0.40794065097072035,0.40794065097072035
thal_fixed defect,0.331397759880134,0.331397759880134
fbs,0.3220201773386857,0.3220201773386857
thal_reversable defect,0.2628762563561591,0.2628762563561591
cp_non-anginal,-0.23326115405886,0.23326115405886
slope_upsloping,-0.21886783990004818,0.21886783990004818
thalch,-0.20718992531789848,0.20718992531789848
slope_downsloping,-0.19666856592662538,0.19666856592662538
chol,0.17092579194114124,0.17092579194114124
age,0.08019739670463479,0.08019739670463479
cp_typical angina,-0.05493221795154798,0.05493221795154798
trestbps,0.05174406609835643,0.05174406609835643
restecg_st-t abnormality,-0.03706265648918342,0.03706265648918342
dataset_va long beach,0.03551464138096348,0.03551464138096348
restecg_normal,0.023246601515903197,0.023246601515903197
restecg_lv hypertrophy,0.006220300117329042,0.006220300117329042
