component,explained_variance_ratio,cumulative_variance
1,0.21608641668883477,0.21608641668883477
2,0.14823251831009077,0.36431893499892554
3,0.1068070146902435,0.47112594968916904
4,0.09531503480000904,0.5664409844891781
5,0.08500510375490175,0.6514460882440799
6,0.05976720545703735,0.7112132937011173
7,0.04082162475253948,0.7520349184536568
8,0.036278890023684514,0.7883138084773413
9,0.03229651818926771,0.820610326666609
10,0.030025186086691257,0.8506355127533003
11,0.025948817626518267,0.8765843303798185
12,0.022220876734590427,0.8988052071144089
13,0.018228448135117956,0.9170336552495268
14,0.017272609115731884,0.9343062643652588
15,0.015548785517274687,0.9498550498825334
16,0.011873599002160562,0.961728648884694
17,0.009581831130404752,0.9713104800150988
18,0.008328690509093364,0.9796391705241921
19,0.0076884062039863236,0.9873275767281785
20,0.006670497317222084,0.9939980740454006
21,0.006001925954599575,1.0000000000000002
22,1.3687657592594171e-17,1.0000000000000002
23,3.8476001686268365e-18,1.0000000000000002
24,2.8796841117327077e-18,1.0000000000000002
25,2.7084580150335926e-18,1.0000000000000002
26,0.0,1.0000000000000002
27,0.0,1.0000000000000002
